,id,Recipient (video or comment),comment
1,UgxCi20FZ7Op_V9uJk14AaABAg,HCXA0bok9-E,Please make research on this link of ancient Indian history how we were lied till at present.! https://youtu.be/W1UP0qyWvCEAlso use translation from Indian language..!
2,UgzHCh36xzl26kjZJ9V4AaABAg,HCXA0bok9-E,"“tHe poSiTiOn wAs, qUItE fRaNKlY A DaNGeRouS ONe”Bro shut up, most powerful empires throughout history had kings or dictators which allowed for the development of the entire modern world. Quit projecting modern political values and ideals onto a civilization that existed two millennia ago."
3,UgzhAs_MaLt5DS5vnwl4AaABAg,HCXA0bok9-E,It dint help me passing in exams(jk) it did
4,UgxkvesiH09O03B4QRh4AaABAg,HCXA0bok9-E,Bruh stop trying so hard with the narration … “dictATOr”
5,Ugyuw-XdOkXS6npAZjB4AaABAg,HCXA0bok9-E,So Greeks are like the first civilization in Europe?
6,UgwU-QhJHjCifo_5Pvp4AaABAg,HCXA0bok9-E,"i have always gone with the troy story as a base.  But i have never heard of the greek connection before.  Always suspected, and makes better sense.  why would aeneus, travel that far.  the greek connection explains a migration of greek peoples into the Italian peninsula.  also all the tech, the romans had was basically greek."
7,UgxWyEposwZ7PWscGdp4AaABAg,HCXA0bok9-E,"by a savage wolf child right !  Who was able to Talk ? Walk ? Socialize ??? lol.  This story is one of the dumbest myths ever.  Where exactly did the kids learn any of that - the wolves ?  If the story had any foundation in reality, the kids would have been savage animals PERIOD!  there is others who were actually raised by wolves and they were savage AF.  lmao to think that any savage wolf people ever did anything but be a savage animal lol is stupid!  The evidence proves this."
8,Ugw6xN8MN0DKLxIGRop4AaABAg,HCXA0bok9-E,White women use to lie on blk men saying they was rape when they wasn’t but u want ppl to believe white women was pregnant by spirits …. I’m done  emoji_person_walking_dark_skin_tone  emoji_person_walking_dark_skin_tone  emoji_person_walking_dark_skin_tone  emoji_person_walking_dark_skin_tone .. this that bs  emoji_face_with_tears_of_joy 
9,UgzwRXGu9A1eQPYnee54AaABAg,HCXA0bok9-E,"Impregnant by the god of war… yea im done… I thought white ppl like today, like u know saying Columbus, discover America or even Cap kneeling for police brutality & racist white ppl screaming he kneeling to disrespect the flag  emoji_unamused_face  emoji_face_with_tears_of_joy  emoji_face_with_tears_of_joy  emoji_face_with_tears_of_joy  we clearly see who the devil is"
10,UgxY_35JwGXk0Gets6l4AaABAg,HCXA0bok9-E,Nice
11,UgzZBnhgO3Q3ocsw-Vl4AaABAg,HCXA0bok9-E,Good One.  Thanks.
12,Ugydhp5Q0nq6P6S3pUt4AaABAg,HCXA0bok9-E,what a great quality of pictures. You should be proud.
13,UgyICpp-W3PWxXdYSdB4AaABAg,HCXA0bok9-E,The romulan star empire!
