,id,Recipient (video or comment),comment
1,UgxlDO9XSvdgvPU69xV4AaABAg,H7Fw1zug85I,Loved it
2,Ugiwy6GKLSjWVHgCoAEC,H7Fw1zug85I,Best thing ever
3,UgyaEl3Z-4F8EftK9eJ4AaABAg,m5V-IK1cEtE,The only school channel I enjoy
4,Ugx7cTTEaVkJpx0GBJR4AaABAg,m5V-IK1cEtE,"""is that a bed sheet your wearing?"""
5,UgwKZ3MSiBmUdP4CodV4AaABAg,m5V-IK1cEtE,"The ""Careful, you're like talking to an emperor"" part is the ""That's $50 for a T-shirt."""
6,UgznrRSUPQhPgM0m5ut4AaABAg,m5V-IK1cEtE,"Im going to cry, my teacher showed my this on Elementary, next year I’m going college."
7,Ugwq2Tin48LT-ieiRkd4AaABAg,m5V-IK1cEtE,strong 9
8,UgwLLtAoWRArKVZS4xV4AaABAg,m5V-IK1cEtE,love it
9,UgxeoNqJ9CatAB5aEjx4AaABAg,m5V-IK1cEtE, emoji_green_heart  emoji_green_heart  emoji_green_heart  emoji_green_heart  emoji_green_heart  emoji_green_heart  emoji_green_heart  emoji_green_heart  emoji_green_heart  emoji_green_heart  emoji_green_heart  emoji_green_heart  emoji_green_heart  emoji_green_heart  emoji_green_heart  emoji_green_heart 
10,UgzPojDTbLvnzP_k1ZB4AaABAg,m5V-IK1cEtE,This guy has more bangers???? holly shit
11,UgxkF850RN3RqPrUuz94AaABAg,m5V-IK1cEtE,6TH GRADE VIBES!
12,UgzCiOdMJsRWvr9XMrF4AaABAg,m5V-IK1cEtE,Pretty sure July comes from Julius
13,UgzCiOdMJsRWvr9XMrF4AaABAg.9kGGeGr0jOT9lLUalNGbVI,UgzCiOdMJsRWvr9XMrF4AaABAg,yeah lol
14,Ugy5UjJYZ7zqE4lBFWp4AaABAg,m5V-IK1cEtE,"this song goes hard  emoji_classical_building  emoji_thumbs_up_light_skin_tone edit: man i wish i heard this in 6th grade im a senior in high school and i found it myself, truly a masterpiece  emoji_OK_hand_light_skin_tone "
15,UgwG3uPW8iToWva31q94AaABAg,m5V-IK1cEtE,This was everything in social studies 6th grade. Tell me I'm wrong. We had one for EVERY lesson lol
16,UgzWebGTkEZd0SevvPx4AaABAg,m5V-IK1cEtE,Best partAND HANNIBAL HAD ELEPHANTS!!!!!
17,UgzX9SPtWe9cLPxLmN54AaABAg,m5V-IK1cEtE,My social studies teachers play this everyday  emoji_loudly_crying_face  the whole class knows every lyric
18,UgzIjlqJNxw8YPwtOVF4AaABAg,m5V-IK1cEtE,"My Latin class listens to this at LEAST once a week, thanks lol"
19,UgyuKGY8dcB5VQOipuh4AaABAg,m5V-IK1cEtE,Me and my class watched these in 4-5th grade  emoji_face_with_tears_of_joy  they are so good
20,UgzUlpkBplNccRb_ATh4AaABAg,m5V-IK1cEtE,We listen to your songs every day
21,UgzJr9lGrExik3-z-Rt4AaABAg,m5V-IK1cEtE,Every time I hear Thrift Shop I suddenly get flashbacks to 5th grade history class
22,Ugz_mZE4hxDZyw9KT1h4AaABAg,m5V-IK1cEtE,When he says Hannibal my brain immediately thinks it's the Lecter one  emoji_skull  emoji_skull  emoji_skull 
23,UgwkPjl6VHWSKCgNpYV4AaABAg,m5V-IK1cEtE,Look at my and Rasullah for march and me for december.
24,UgyqZxiF18RndUmfeF54AaABAg,m5V-IK1cEtE,Back in my day in 6th grade (I'm now in 8th) we'd vibe to this sing everyday
25,Ugw-3a-HqDqyyU4qTLN4AaABAg,m5V-IK1cEtE,I listened to this video at school today
26,UgwMQAivgQsX6vGQ-Dt4AaABAg,m5V-IK1cEtE,Bro sixth grade was different with mr nicky
27,UgwC9e-oiA0LG9Y173x4AaABAg,m5V-IK1cEtE,My classmate made me watch this
28,UgyDGmYJ0eeaQFYKjeV4AaABAg,m5V-IK1cEtE,1:56 Love the way his voice warbles
29,UgwR-WLXej0neUfxQVJ4AaABAg,m5V-IK1cEtE,"This is the 2nd best song, number one is mesopotamia. Also, this is the only music I listen to."
30,UgwQIG8xMdCADe7bvgp4AaABAg,m5V-IK1cEtE,my 4 period class played this song a lot it rocks who agree
31,UgxXcta-_M393Pl-jTN4AaABAg,m5V-IK1cEtE,"""Is that a bed sheet you're wearing?"""
32,UgwL1Ej_Igk8bIasdw54AaABAg,m5V-IK1cEtE,I remember this broooo. 6th grade memories
33,UgxJMKISa_4GE5O_Rst4AaABAg,m5V-IK1cEtE,"Oh my gods. I've known this song for years, and i just realized why Hannibal the Elephant from Heroes of Olympians is named Hannibal."
34,UgxBQQ16KIAWrgxJad94AaABAg,m5V-IK1cEtE,dang bro I don't know how Caesar just lettin' Agustus talk to him like that.
35,Ugx6if8mF3ITt0vXr1p4AaABAg,m5V-IK1cEtE,wow
36,UgzHFPmelq6REvmiXhx4AaABAg,m5V-IK1cEtE,thrift shop is the original song if you wanted to listen to it
37,Ugyw-87oGIxBDgPTttR4AaABAg,m5V-IK1cEtE,Why does this help me better than my teacher for 3 weeks
38,UgwgxPsfaK-QheLrDGB4AaABAg,m5V-IK1cEtE,The part where there was sound was the best.
39,UgwJl23zobrZuP7twS54AaABAg,m5V-IK1cEtE,My social studies teach loves this song
40,Ugzn9CQ8xgLO8rpNj_14AaABAg,m5V-IK1cEtE,Our class did to
41,UgyRaoBs0nx_ZruTUqB4AaABAg,m5V-IK1cEtE,POV: 6th grade social studies class
42,Ugw4gquh35ldzMYnkEl4AaABAg,m5V-IK1cEtE,I listen too this this while I’m playing HOI 4
43,UgwO_gBPFMSdQ-UuiLR4AaABAg,m5V-IK1cEtE,Bro my social studies class plays this everyday its great
44,UgxazOOp-gm4PDZzKVF4AaABAg,m5V-IK1cEtE,"Mrs Wilkes, 6th grade class. Mt jordan middleschool"
45,UgwqWgopJ3QzmMipTg54AaABAg,m5V-IK1cEtE,fire  emoji_fire 
46,UgwEadCpe3ioprKK2Ht4AaABAg,m5V-IK1cEtE,Greatest Diss track on them Barbarians
47,UgwounnI8TNcQQYav0p4AaABAg,m5V-IK1cEtE,I remember watching this video on 4th grade bro the memories
48,UgztGOEfbuMkzZm4fyF4AaABAg,m5V-IK1cEtE,7th grade memories
49,Ugzgv0GGU7U0xWWSZLp4AaABAg,m5V-IK1cEtE,"2:35 Augustus, and other early emperors, didn't use the title ""Emperor"" or any other imperial title. Infact, they used Republican titles like Consul or First Citizen"
50,UgxV4ad1wm0179293lN4AaABAg,m5V-IK1cEtE,1:41 3:07
51,UgwGO9fcLTCxemNdJVh4AaABAg,m5V-IK1cEtE,6th grade memories bro
52,UgzzSmdKOrqjv_Cjq7h4AaABAg,m5V-IK1cEtE,i found this on the internet and i cant stop listening
53,Ugw2mxZYnB9geR8M8Jx4AaABAg,m5V-IK1cEtE,This song is boss
54,UgxbzOIiGrHvYZHMfkp4AaABAg,m5V-IK1cEtE,Rome is loveRome is lifeThis song is lit
55,UgwIrgfhbehQ-whyZ_54AaABAg,m5V-IK1cEtE,Everyone in my class hating this song Me in the corner:  emoji_clapping_hands  emoji_exploding_head  emoji_star-struck  this is FIRE  emoji_fire / Singing this in my mind.
56,UgwIrgfhbehQ-whyZ_54AaABAg.9cJXNJUFbNB9flkIGmajku,UgwIrgfhbehQ-whyZ_54AaABAg,No one hates this song
57,Ugw-tWfmKAf0NtP49Zp4AaABAg,m5V-IK1cEtE,I listened to this while playing callofwar
58,UgyEqKkSjpoIxXsOFNV4AaABAg,m5V-IK1cEtE,Certified hood classic
59,Ugy4PKfm4XhFmyww_XR4AaABAg,m5V-IK1cEtE,Notice little Cesar in the bath
