,id,Recipient (video or comment),comment
1,UghLhRGoAh0bPngCoAEC,t6M5sFXKRcY,"I am so happy to see so many people wanting to use this either in their classrooms as teaching material or as supporting material for their school projects! It really means a lot to me. If anyone else wants to use this video for school, teacher or student, go ahead! Also feel free to ask any questions you may have about the production of the video or even about the story itself."
2,UghLhRGoAh0bPngCoAEC.8PBEXiqtBPO9Z0F050JKA4,UghLhRGoAh0bPngCoAEC,My teacher put in the class the video good vid fan
3,UghLhRGoAh0bPngCoAEC.8PBEXiqtBPO98eUXd1eMhM,UghLhRGoAh0bPngCoAEC,my teacher is making us watch this! i love this haha!
4,UghLhRGoAh0bPngCoAEC.8PBEXiqtBPO8gIWhqsrfic,UghLhRGoAh0bPngCoAEC,Lol I like this a lot :P
5,UghLhRGoAh0bPngCoAEC.8PBEXiqtBPO8eaNorZJcNj,UghLhRGoAh0bPngCoAEC,We are learning about ancient Rome in World history and my teacher used this video as a example :D
6,UghLhRGoAh0bPngCoAEC.8PBEXiqtBPO8PsCx-Vqm7P,UghLhRGoAh0bPngCoAEC,bluefeathercat I actually played this video when my teacher was talking about this subject in 7th grade :p They all clapped at the end tho
7,UgzhxeT5j3kFrQvFr9F4AaABAg,t6M5sFXKRcY,The maker: this is my projectMy history teacher: nah I use it it’s mine not youre
8,Ugzd7JZa8Nb1NNN42Kx4AaABAg,t6M5sFXKRcY,I never thought I would see a day that a meme vide (kinda) would be used as teaching material I LOVE IT
9,Ugzd7JZa8Nb1NNN42Kx4AaABAg.9fe2jLO95MO9fgVZfaK8WK,Ugzd7JZa8Nb1NNN42Kx4AaABAg,im traumatized after watching this video so i dont think its a meme video
10,UgzMnMi5f67v5jNh3uh4AaABAg,t6M5sFXKRcY,We watched this at school and it is sooooooooooooooooo funny! My teacher loves it!!!
11,UgwHxpEXK87UA9qQS3t4AaABAg,t6M5sFXKRcY,this video is hurting my brain XD
12,Ugw_TvCwLjvbgEdiAnN4AaABAg,t6M5sFXKRcY,this video is dogwater
13,UgzEKW_m0AwGnNZMtuV4AaABAg,t6M5sFXKRcY,you better have gotten a 100 on that project
14,Ugz0GcmwpKevLSEg22d4AaABAg,t6M5sFXKRcY,what and it cool.
15,UgzjvS7llf4CYOZ9qM94AaABAg,t6M5sFXKRcY,Epic i used this info for my roman project
16,Ugy7Bwv0MYzi-Hzsx-F4AaABAg,t6M5sFXKRcY,My history teacher just showed me this
17,UgxyHi2PAujFEye7qX94AaABAg,t6M5sFXKRcY,Wow that's a really good story
18,UgxPSAfmSiNlntrcxuF4AaABAg,t6M5sFXKRcY,Never have I ever seen a educational video with humor exactly of my tasteI'm glad i got this as a video watch
19,Ugwf49B4Ms97oNorU594AaABAg,t6M5sFXKRcY,"Long ago in the kingdom of Alba longa lived a king named Numato, he was a magnificent ruler and had a beautiful daughter named Sylvia, Sylvia had a wicked brother Julius who overthrew Numato and took the throne for himself. Amilia speared that his niece would give birth to the sons who might try to retake the throne in the future, so he banished Sylvia to the temple of Mars to be a vestal virgin but Mars, the God of war fell in love with her and together they had twin sons, Remus and Romulus. Once the word got to Amelia's, he furiously ordered the servants to sneak into Mars's temple that night had killed the 2 babies but when the servants arrived at the temple, they couldn't bring themselves to harm the twins so instead they decided to send them away into the Tiber River so that Amelia's wouldn't know that they had lived. The river's currents were surprisingly calm. The babies did not drown infact the cradle drifted on to a bank just at the bottom of Palentine hill. The next morning a female wolf walked down the hill to get a drink at the river but when she did, she stumbled upon Remus and Romulus but instead of gobbling them up like any other wolf would do, she saved them and took them into her care like they were her own pups. When the boys grew up a shepherd names Posthumous found and took them from the Female Wolf and raised them. They grew up to be strong young men and would spread to the twin where the former king Numato had been banished to he realized that the boys were his grandsons and decided to have them come to him. When they arrived Numato explained to them everything that happened. He also informed them that they needed to overthrow Amelia's and take the throne from him. Romulus and Remus gathered an army of men, raided the kingdom and killed their wicked uncle. Once Numato was back on his throne, his grandsons decided that they wanted to start a city of their own but they were unable to decide where to build it so they decided to build their own separate cities but while they were building, Remus started to mock Romulus for having such low walls and leapt over them to prove his point. Romulus got angry and killed his brother in rage without hesitation and exclaimed, ""SO PERISH EVERYONE THAT SHALL HEREAFTER LEAP OVER MY WALL!"""
20,Ugz7gEN4frs0LK5OwG94AaABAg,t6M5sFXKRcY,MY TEACHER PLAYED THE ENTIRE OF THIS VIDEO AT FULL VOLUME IM DYING RN
21,UgycR-Z65HDofQXwd494AaABAg,t6M5sFXKRcY,WHO BE HERE FOR MRS MOTZ HOMEWORK?
22,UgwBxq-gC9Yhj8r5DxJ4AaABAg,t6M5sFXKRcY,We are doing this in class but some stuff I think I have not head because some stuff are not right that I have heard
23,UgwLvrI-G-qmxEsN7pV4AaABAg,t6M5sFXKRcY,so good well done
24,UgybP7GSBjpymrTW14R4AaABAg,t6M5sFXKRcY,I Love Your wolf at the end
25,Ugz1wNr-3r6b-1ErI-54AaABAg,t6M5sFXKRcY,lol yesterday me and my class watched this in class we all laughed
26,UgybpAjfi_GBsIqH3n14AaABAg,t6M5sFXKRcY,This is good XD I love this
27,UgzYhGNLaw2h6Ge1nxR4AaABAg,t6M5sFXKRcY,I am a middle school Latin teacher and love the modern take on this ancient tale! Thank you for sharing this outstanding project -- my students (and I) are much better off because of your work!
28,UgxNWEKYFVJ8Bw8Z7bZ4AaABAg,t6M5sFXKRcY,Thx this will help me in history
29,UgyTZxFOWr3OUHE6giB4AaABAg,t6M5sFXKRcY,Nice
30,UgwcTnM5_YhkShZvrud4AaABAg,t6M5sFXKRcY,excellent video bro
31,Ugz76ZAWQSmKp9_g8kl4AaABAg,t6M5sFXKRcY,it is quit funny intill  when Romulus kills Remus
32,Ugzs6jUYlyjYZUW4z_B4AaABAg,t6M5sFXKRcY,my teacher showed this to us now I searched it on youtube and i find this.
33,Ugy4uLQHQ0RzNNqvCYF4AaABAg,t6M5sFXKRcY,My teacher literally put this on for history
34,UgyAEWyt9mpsMyINHAt4AaABAg,t6M5sFXKRcY,Description: this is for my history classTeachers: our history class
35,UgyRicVn_20oSMcu2nN4AaABAg,t6M5sFXKRcY,"OOO gurl you so perty xD.. I had to watch this for SS and I'm not dissapointed, tysm"
36,UgzEUkK_TiStixnWMQ94AaABAg,t6M5sFXKRcY,Well this was a interesting video my teacher assigned me to watch lol
37,UgwrTKqDSjTftYTtH2N4AaABAg,t6M5sFXKRcY, emoji_neutral_face 
38,Ugz441VHU-746QOqDtB4AaABAg,t6M5sFXKRcY,Sound quality tho
39,UgyES5-GkuMopvjVVGJ4AaABAg,t6M5sFXKRcY,This helped me so much with my Rome topic! emoji_grinning_face 
40,Ugwp_9jVsaeJHMFH_0h4AaABAg,t6M5sFXKRcY,You guys suck bots
41,UgzxP28hflGpwLObt8Z4AaABAg,t6M5sFXKRcY,Still can’t even handle this.  emoji_grinning_face_with_smiling_eyes 
42,UgxHcZxnUrv1jRODrGB4AaABAg,t6M5sFXKRcY,Wouldn’t she say “oh my Jupiter” not Zeus since she’s very very roman
43,UgwdXkO0vO9o2sF2FrF4AaABAg,t6M5sFXKRcY,my teacher gave me this video for homework... i officially hate you
44,Ugz58i-6msob1FPefnJ4AaABAg,t6M5sFXKRcY,Lol i love it
45,UgxcNAZrIij0myfjrDN4AaABAg,t6M5sFXKRcY,Hi random person scrolling through the comments
46,UgygTGHe76fMq1WDJfx4AaABAg,t6M5sFXKRcY,this is so cringefest kill kids kill brother XP hahahahahahaahahahahahahahahahahahaha
47,UgwAfEkFvBLohlTESgh4AaABAg,t6M5sFXKRcY,Peppa!! peppa!! are you here
48,UgwXt6f6tgwFtn8iEpF4AaABAg,t6M5sFXKRcY,:P
49,Ugxn11S2K4fXBbZwZph4AaABAg,t6M5sFXKRcY,My teacher showed me this at School and everyone was being 'SMART' and saying some things were wrong. While I was laughing at the bad jokes and not learning anything
50,UgxaBWpcknVW1vbUwpt4AaABAg,t6M5sFXKRcY,My history teacher played this  emoji_rolling_on_the_floor_laughing  emoji_rolling_on_the_floor_laughing 
51,UgwvZI6WoEYJZnQuh6t4AaABAg,t6M5sFXKRcY,i watched this in class
52,UgxM3NBsy4pWj3QgEqB4AaABAg,t6M5sFXKRcY,Crap video. Absolute poop
53,Ugx7hl9NJaPjrTtcED94AaABAg,t6M5sFXKRcY,Watched this is class xd
54,Ugwk03TTdlTt4vCdDYB4AaABAg,t6M5sFXKRcY,g day avery hodges
55,UgxTRChd9o2eTmhjyQ54AaABAg,t6M5sFXKRcY,My history teacher put this us and the teacher were laughing for all of the vid
56,UgzJU6IJE7LUyovlOK14AaABAg,t6M5sFXKRcY,Thnkz a lot u helped me in my final exam
57,UgznW3-1RjXw-_Mq5-t4AaABAg,t6M5sFXKRcY,My history teacher showed us this wow
58,UgwNaSwrEO_xQPyJzJl4AaABAg,t6M5sFXKRcY,O have homework of roman people
59,UgyrtCFXDU72HoH5yE54AaABAg,t6M5sFXKRcY,my teacher made us watch this today
60,UgymwTPtZkDKYzcl5n54AaABAg,t6M5sFXKRcY,I saw this in class.It's so bad that it's good.
61,Ugx3DiAv5ge6SvZB6zN4AaABAg,t6M5sFXKRcY,Not true
62,UgycWDKzCeiYVrE-vDh4AaABAg,t6M5sFXKRcY,My teacher showed me this omg Im crying xd
63,UgwVbfChC86GPIylwfR4AaABAg,t6M5sFXKRcY,This is legendary
64,UgxrUAIDFZk4RDD9pBd4AaABAg,t6M5sFXKRcY,My Latin teacher showed me this a few days ago... Best way to learn about certain topics lol
65,UgwjPX-esVUHVs-UV8R4AaABAg,t6M5sFXKRcY,What was the shepherd’s name at 1:17
66,UgwjPX-esVUHVs-UV8R4AaABAg.8j_wNwoUu199DYxBkA8Px9,UgwjPX-esVUHVs-UV8R4AaABAg,Fostywus
67,UgxOQYEiZhEZU_SK_Ut4AaABAg,t6M5sFXKRcY,ok so my 65 year old history teacher showed this to us. he had never watched it. he hated it. all the kids were  laughing so hard. thank you for my awesome hour in 2nd period.
