,id,Recipient (video or comment),comment
1,UgxGRjrWBan66Rrh1r14AaABAg,1pMfKXl5CC8,I learn this at school
2,Ugw3_LKu7erx5J9dWqt4AaABAg,1pMfKXl5CC8,nice story. Amen.
3,UgweLRJKRJLreArBUYt4AaABAg,PRbcXjuTEcQ,Awesome channel! keep them coming!
4,Ugw-Ikbx9pJIx8SKuJZ4AaABAg,PRbcXjuTEcQ,Salve friend
5,Ugw6XmNcfJ6KAWvMHqd4AaABAg,PRbcXjuTEcQ,"thanks for this, ive heard this in a lecture but seeing it written down this way is more helpful."
6,UgwE01iF3eh0XYgWnAZ4AaABAg,vXC-7zJGwvw,bawiin sa bloopers
7,UgyqqU0uBaPD2kpkdrp4AaABAg,vXC-7zJGwvw,SORRY NAMAN :)) malay ko bang nagsshoot n yun hahaha. EPIC men :)) labo nun hahaha. hnd n ulit kinuha eh :pp
8,Ugw_iuwx_bV8tsBGUaV4AaABAg,7xP_TLiswp8,"https://en.wikipedia.org/wiki/Ancient_Rome https://en.wikipedia.org/wiki/Roman_Kingdom https://en.wikipedia.org/wiki/History_of_the_Roman_Empirehttps://en.wikipedia.org/wiki/History_of_Romeremember that Roman Kingdom was established on 753 BC to 509 BC. BC mean it is written as before the years or years ago. AD mean it is written as after the years. From 753 BC to AD 2020, we must use calculate early ancient roman history and middle age of roman and modern history of roman BC 753 + AD 2020 =  2773 years"
9,UgzFk7nom9vzcKk172Z4AaABAg,7xP_TLiswp8,This is Rome and some good history
10,UgyPAYmSR4LFEhN2TA54AaABAg,7xP_TLiswp8,Who WERE Romulus and Remus?
11,UgyQN09WfYgif2OLFOR4AaABAg,7xP_TLiswp8,I thought Rome was by the romans for the romans built when the romans stopped roaming.
12,UgxfNEVuOv6FDgh8i814AaABAg,7xP_TLiswp8,You suck
13,UgxN5LsKyFyZd1AlC4N4AaABAg,7xP_TLiswp8,I found that rome was found in 753
14,UgyTjuTSHVgWVwBX35Z4AaABAg,7xP_TLiswp8,"Who ""were"" Romulus and Remus. Jesus! Learn English before trying to teach."
15,Ugz7BuqXOAcyb4ivRFx4AaABAg,7xP_TLiswp8,They probably fought over a girl. And the girl said she wanted to be queen. Romulus gave her an empire
16,Ugz8ad90s1jShr8IgJZ4AaABAg,7xP_TLiswp8,"And their ""Artwork"""
17,Ugys5ArMSyF9mXBwlH94AaABAg,7xP_TLiswp8,This video got me real salty about Romans
18,UgwslAtVakxVemkUr3J4AaABAg,7xP_TLiswp8,wow
19,UgxKyun5JJhfJ10fVOF4AaABAg,7xP_TLiswp8,Ohh
20,Ugz82gATZ-X0_hVy0BB4AaABAg,7xP_TLiswp8,How a wolf can feed romulous and reamus
21,UgzwlxduumzfNtb-5Tt4AaABAg,7xP_TLiswp8,Cool
22,UggfYOrTud6zTXgCoAEC,7xP_TLiswp8,Great work guys. Keep it up. It's a shame your'e only producing a video every few months though.
23,UgiNGQ-bS7-KcngCoAEC,7xP_TLiswp8,I would definitely call myself and amateur historian. but I love rome learning new things watching videos like this one. I recall hearing a myth that Romulus disappeared after a lighting strike.
24,UggHxkgtyDUK73gCoAEC,7xP_TLiswp8,Daddy im here.
25,UghyeE4SPfUCQHgCoAEC,7xP_TLiswp8,talking about the fall if the Roman empire only the western roman empire fell the eastern roman empire which controlled all of Greece and nowdays turkey lived on for another thousand years the eastern roman emperor want to become independent from Rome so thus became the byzantine empire that fell after the ottam turks attacked constanaople
26,Ugj-BOOyqSkZZHgCoAEC,7xP_TLiswp8,"*Who were Romulus and Remus? Aside from that, good video!"
27,Ugj-BOOyqSkZZHgCoAEC.8ND83XYje9_8yJcT2sMwQw,Ugj-BOOyqSkZZHgCoAEC,they're bad ass bearded ass kicking spear wielding barbarian looking mothershockers.
28,Ugj-BOOyqSkZZHgCoAEC.8ND83XYje9_8aGP1_tVevI,Ugj-BOOyqSkZZHgCoAEC,TapDog96 Plutarch tells a great deal of the different myths about both brothers..
